@relation training_data_summary_sorted

@attribute pos1_A numeric
@attribute pos1_C numeric
@attribute pos1_T numeric
@attribute pos1_G numeric
@attribute pos2_A numeric
@attribute pos2_C numeric
@attribute pos2_T numeric
@attribute pos2_G numeric
@attribute pos3_A numeric
@attribute pos3_C numeric
@attribute pos3_T numeric
@attribute pos3_G numeric
@attribute pos4_A numeric
@attribute pos4_C numeric
@attribute pos4_T numeric
@attribute pos4_G numeric
@attribute pos8_A numeric
@attribute pos8_C numeric
@attribute pos8_T numeric
@attribute pos8_G numeric
@attribute pos9_A numeric
@attribute pos9_C numeric
@attribute pos9_T numeric
@attribute pos9_G numeric
@attribute pos10_A numeric
@attribute pos10_C numeric
@attribute pos10_T numeric
@attribute pos10_G numeric
@attribute pos11_A numeric
@attribute pos11_C numeric
@attribute pos11_T numeric
@attribute pos11_G numeric
@attribute pos12_A numeric
@attribute pos12_C numeric
@attribute pos12_T numeric
@attribute pos12_G numeric
@attribute pos20_A numeric
@attribute pos20_C numeric
@attribute pos20_T numeric
@attribute pos20_G numeric
@attribute pos30_A numeric
@attribute pos30_C numeric
@attribute pos30_T numeric
@attribute pos30_G numeric
@attribute method {NOMEseq,9N_PBAT,6N_PBAT,6N_sc,UMI_RRBS,Swift,WGBS,Truseq,Amplicon,RRBS,scNOME}

@data
25,20,27,25,28,20,25,26,29,20,24,25,33,18,22,26,30,17,21,29,1,95,1,0,96,0,0,1,1,0,1,96,1,0,96,1,22,1,55,19,23,4,54,18,UMI_RRBS
25,21,27,25,28,20,25,26,29,20,24,25,34,18,21,26,30,18,21,29,1,95,1,0,96,0,0,1,1,0,1,96,1,0,96,1,22,1,55,20,23,4,54,18,UMI_RRBS
43,1,37,17,38,0,41,19,33,0,40,24,34,0,41,22,33,2,42,22,32,1,44,20,31,1,45,20,31,1,46,20,30,1,47,20,31,1,47,20,30,1,48,19,Swift
42,1,38,17,38,1,40,19,34,0,40,24,34,0,41,22,33,1,42,21,33,1,44,20,32,1,45,20,32,1,46,20,31,1,46,20,31,1,46,20,31,1,47,19,Swift
42,1,38,17,38,0,41,19,33,0,40,24,34,0,42,22,33,2,42,22,33,1,44,20,32,1,45,20,31,1,46,20,30,1,47,20,30,1,47,20,30,1,48,19,Swift
25,20,27,25,28,19,26,26,29,20,24,25,34,18,21,26,30,18,21,29,1,96,1,0,96,0,0,1,1,0,1,97,1,0,96,1,22,1,56,19,23,3,54,18,UMI_RRBS
25,20,27,25,28,19,25,26,29,20,24,25,34,17,21,26,30,18,21,29,1,96,1,0,96,0,0,1,1,0,1,97,1,0,96,1,22,1,55,19,23,3,54,18,UMI_RRBS
25,20,27,26,27,19,26,26,29,20,24,25,34,17,22,25,30,18,21,29,1,95,1,0,96,0,0,1,1,0,1,97,1,0,96,1,22,1,56,19,22,4,55,17,UMI_RRBS
25,20,27,26,28,19,25,26,29,20,24,25,34,17,21,26,30,18,21,29,1,95,1,0,96,0,0,1,1,0,1,97,1,0,96,1,22,1,56,19,22,4,54,17,UMI_RRBS
25,20,27,25,27,19,25,26,29,20,24,25,34,17,21,26,30,18,21,29,1,95,1,0,96,1,0,1,1,0,1,96,1,0,96,1,21,1,57,19,22,4,55,17,UMI_RRBS
25,21,27,25,28,20,25,26,29,20,24,25,34,18,21,25,30,18,21,29,1,95,1,0,96,0,0,1,1,0,1,96,1,0,96,1,21,1,57,19,22,3,55,17,UMI_RRBS
25,20,28,25,28,19,26,25,29,20,24,25,34,17,21,26,31,18,21,29,1,95,1,0,96,1,0,1,1,0,1,96,1,0,96,1,21,1,57,19,22,4,55,17,UMI_RRBS
25,20,27,26,28,19,25,26,29,20,24,25,34,17,21,26,30,18,21,29,1,95,1,0,96,0,0,1,1,0,1,96,1,0,96,1,21,1,57,19,22,4,55,17,UMI_RRBS
25,20,27,26,28,19,26,26,29,20,24,25,34,17,21,26,31,18,21,29,1,95,1,0,96,0,0,1,1,0,1,96,1,0,96,1,22,1,55,20,23,4,53,18,UMI_RRBS
25,20,27,25,28,19,25,26,29,20,24,25,33,17,21,26,31,18,21,29,1,95,1,0,96,0,0,1,1,0,1,96,1,0,96,1,22,1,55,20,23,4,53,18,UMI_RRBS
25,20,27,25,28,19,25,26,29,20,24,25,34,17,21,26,30,18,21,29,1,95,2,0,96,1,0,1,1,0,1,96,1,0,96,1,21,1,57,18,22,3,56,17,UMI_RRBS
25,20,27,26,28,20,25,26,29,20,24,25,34,17,21,26,30,18,21,29,1,95,1,0,96,0,0,1,1,0,1,96,1,0,96,1,21,1,57,19,22,3,56,17,UMI_RRBS
38,1,42,17,38,0,40,19,37,0,41,20,36,0,42,20,37,0,41,19,37,0,42,19,37,0,41,19,37,0,41,19,37,0,41,19,36,0,42,19,36,0,42,20,WGBS
